QueueLength_mean,QueueLength_std,QueueLength_normal_ci_95,WaitingTime_mean,WaitingTime_std,WaitingTime_normal_ci_95
0.345,0.086,"(0.343, 0.347)",1.337,1.26,"(1.302, 1.372)"
0.344,0.087,"(0.342, 0.346)",1.338,1.264,"(1.303, 1.373)"
0.344,0.086,"(0.342, 0.346)",1.325,1.263,"(1.29, 1.36)"
0.867,0.276,"(0.859, 0.875)",4.639,2.626,"(4.566, 4.712)"
0.867,0.278,"(0.859, 0.875)",4.64,2.644,"(4.567, 4.713)"
0.867,0.277,"(0.859, 0.875)",4.645,2.639,"(4.572, 4.718)"
2.385,1.403,"(2.346, 2.424)",12.763,8.164,"(12.537, 12.989)"
2.383,1.403,"(2.344, 2.422)",12.743,8.177,"(12.516, 12.97)"
2.385,1.401,"(2.346, 2.424)",12.772,8.149,"(12.546, 12.998)"
11.91,7.022,"(11.715, 12.105)",55.078,30.98,"(54.219, 55.937)"
11.91,7.024,"(11.715, 12.105)",55.08,30.935,"(54.223, 55.937)"
11.909,7.022,"(11.714, 12.104)",55.098,31.009,"(54.238, 55.958)"
